,min,max,mean,count,sum
0,-16.0,-12.0,-14.313531353135314,303,-4337.0
1,-18.0,-12.0,-15.003883495145631,1030,-15454.0
2,-4.0,-3.0,-3.955223880597015,67,-265.0
3,-4.0,-3.0,-3.027027027027027,74,-224.0
4,-4.0,0.0,-3.258687258687259,1036,-3376.0
5,-10.0,-6.0,-9.348214285714286,112,-1047.0
6,-10.0,0.0,-2.3397745571658617,1863,-4359.0
7,0.0,0.0,0.0,149,0.0
8,-4.0,-3.0,-3.701492537313433,67,-248.0
9,-4.0,-2.0,-3.6444444444444444,315,-1148.0
10,-5.0,-2.0,-3.9704433497536944,812,-3224.0
11,-3.0,-1.0,-1.9180327868852458,61,-117.0
12,-3.0,-1.0,-2.6179775280898876,89,-233.0
13,-4.0,-3.0,-3.9344262295081966,61,-240.0
14,-4.0,-4.0,-4.0,216,-864.0
15,-5.0,-2.0,-4.315789473684211,1463,-6314.0
16,-4.0,0.0,-3.3004399748585795,1591,-5251.0
17,-5.0,-4.0,-4.721311475409836,61,-288.0
18,-4.0,0.0,-3.457943925233645,107,-370.0
19,-28.0,0.0,-17.663278700369705,83039,-1466741.0
20,-5.0,-5.0,-5.0,164,-820.0
21,-4.0,-2.0,-3.774193548387097,62,-234.0
22,-5.0,-4.0,-4.4621676891615545,489,-2182.0
23,-5.0,-3.0,-4.435002529084471,5931,-26304.0
24,-21.0,-9.0,-15.4640872167593,4678,-72341.0
25,-25.0,-23.0,-23.883561643835616,584,-13948.0
26,-19.0,-12.0,-15.878443113772455,1670,-26517.0
27,-5.0,0.0,-4.588844355377422,2994,-13739.0
28,-43.0,-28.0,-33.43777184280809,13105,-438202.0
29,-15.0,-13.0,-14.19127988748242,711,-10090.0
30,-48.0,-32.0,-39.26673789173789,2808,-110261.0
31,-20.0,-13.0,-16.434159061277704,5369,-88235.0
32,-18.0,0.0,-13.175227757317309,5159,-67971.0
33,-10.0,0.0,-5.692857142857143,140,-797.0
34,-51.0,-26.0,-39.263324652777776,69120,-2713881.0
35,-15.0,0.0,-9.950272479564033,1468,-14607.0
36,-38.0,0.0,-23.71097455592895,104150,-2469498.0
37,-3.0,0.0,-1.9285714285714286,196,-378.0
